Isolate	MGT1 ST	MGT2	MGT3	MGT4	MGT5	MGT6	MGT7	MGT8	MGT9	CC-MGT2	CC-MGT3	CC-MGT4	CC-MGT5	CC-MGT6	CC-MGT7	CC-MGT8	CC-MGT9	ODC1	ODC2	ODC5	ODC10	Continent	Country	State or sub country	Postcode	Source	Type	Host	Host disease	Collection date	Collection year	Collection month
SRR9969845	19	2	15	61	82	63	17043	22881	24816.2	1	15	18	62	63	14332	20173	23123	23123	21819	19045	121	Oceania	Australia	 Adelaide		feces		chicken		2014-08-16	2014	8
SRR9969846	19	2	15	61	82	63	17043	22881	24816.1	1	15	18	62	63	14332	20173	23123	23123	21819	19045	121	Oceania	Australia	 Adelaide		feces		chicken		2014-10-06	2014	10
SRR9969844	19	2	15	61	82	63	17043	22882	24817.1	1	15	18	62	63	14332	20173	23123	23123	21819	19045	121	Oceania	Australia	 Adelaide		feces		chicken		2014-10-06	2014	10
SRR12170550	19	9	39	60	8014	12646	16540	22229.1	24121.1	1	2	42	3405	10130	13968	19624	22515	22515	21272	18586	15526	Oceania	Australia	 Melbourne				Horse			1999	
SRR1645484	19	9	47	56	340	548	719	879.1	957.1	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645491	19	9	47	56	340	548	719	890.4	957.4	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645487	19	9	47	56	340.2	548.1	719.3	890.1	957.2	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645485	19	9	47	56	340	548	719	890	958.1	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645490	19	9	47	56	340	548	719.4	890.3	957.3	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645486	19	9	47	56	340	548	719	891.1	959.1	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645473	19	9	47	56	340	548	719	879	946.1	1	2	42	60	125	719	879	946	946	946	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645488	19	9	47	56	340	548	719	890.2	960.1	1	2	42	60	125	719	879	960	960	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645489	19	9	47	56	340	548	728	892	961.1	1	2	42	60	125	719	892	961	961	946	946	941	Oceania	Australia	 Sydney		Mousse				2006-11-17	2006	11
SRR1645474	19	9	47	56	340	548	720.1	880.1	947.1	1	2	42	60	125	719	880	947	947	946	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645475	19	9	47	56	340	549	719.1	881.1	948.1	1	2	42	60	549	719	881	948	948	948	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645477	19	9	47	56	340	548	722	883	950.1	1	2	42	60	125	722	883	950	950	950	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645482	19	9	47	56	340	548	727	888	955.1	1	2	42	60	125	719	888	955	955	955	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645483	19	9	47	56	340.1	548	719.2	889.1	956.1	1	2	42	60	125	719	879	956	956	946	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645478	19	9	47	56	340	551	723	884	951.1	1	2	42	60	125	723	884	951	951	951	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645479	19	9	47	56	340	548	724	885	952.1	1	2	42	60	125	724	885	952	952	952	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645480	19	9	47	56.1	340	552.1	725.1	886.1	953.1	1	2	42	60	552	719	886	953	953	953	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645481	19	9	47	56	340	548	726	887	954.1	1	2	42	60	125	726	887	954	954	954	946	941	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645476	19	9	47	187	341	550	721	882	949.1	1	2	42	60	550	721	882	949	949	949	949	949	Oceania	Australia	 Sydney		faecal sample				2006-11-09	2006	11
SRR1645510	19	9	36	188	342	554	731	898	968.1	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Ice Cream Container internal surfaces				2011-03-04	2011	3
SRR1645503	19	9	36	188	342	554	731	898	968.1	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Homo sapiens				2011-02-24	2011	2
SRR1645508	19	9	36	188	342	554	731	898	968.1	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Homo sapiens				2011-02-15	2011	2
SRR1645509	19	9	36	188	342	554	731	898.1	968.3	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Cooked Ice Cream Balls				2011-03-04	2011	3
SRR1645504	19	9	36	188	342	554	732.1	899.1	969.1	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Homo sapiens				2011-02-23	2011	2
SRR1645506	19	9	36	188	342	554	731	898	968.2	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Homo sapiens				2011-02-21	2011	2
SRR1645505	19	9	36	188	342	554	731	898	968.1	1	2	42	60	554	731	898	968	968	968	968	968	Oceania	Australia	 Sydney		Homo sapiens				2011-02-21	2011	2
SRR1645507	3412	9	117	56	343	544	733	900	970.1	1	2	42	60	125	733	900	970	970	970	970	970	Oceania	Australia	 Sydney		Homo sapiens				2011-02-19	2011	2
SRR3476843	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Doors Of Chilled Food display unit				2014-04-22	2014	4
SRR3476790	19	9	32	42	46	46	48	49	51.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-25	2014	1
SRR3476792	19	9	32	42	46	46	48	49	50.8	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-26	2014	1
SRR3476804	19	9	32	42	46	46	48	49.1	50.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-28	2014	1
SRR3476842	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Sliced Tomato				2014-04-10	2014	4
SRR3476802	19	9	32	42	46	46	48	49	50.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476818	19	9	32	42	46	46	48.2	49.2	230.8	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-30	2014	3
SRR3476826	19	9	32	42	46	46	48	49	232.3	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-04-02	2014	4
SRR3476820	19	9	32	42	46	46	48.3	49.7	230.9	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-30	2014	3
SRR3476823	19	9	32	42	46	46	48	49	232.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-31	2014	3
SRR3476849	19	9	32	42	46	46	48	49	50.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-25	2014	1
SRR3476824	19	9	32	42	46	46	48	2815.1	2997.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-04-01	2014	4
SRR3476812	19	9	32	42	46	46	48	49	50.7	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-02-11	2014	2
SRR3476829	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-04-07	2014	4
SRR3476837	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		chilled food display doors &amp; prep bench				2014-04-10	2014	4
SRR3476817	19	9	32	42	46	46	48	49	230.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-30	2014	3
SRR3476828	19	9	32	42	46	46	48.2	49.6	230.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-04-05	2014	4
SRR3476825	19	9	32	42	46	46	48.4	49.8	230.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-04-02	2014	4
SRR3476845	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Perspex Doors				2014-05-06	2014	5
SRR3476821	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-31	2014	3
SRR3476839	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Bulk Egg Butter				2014-04-10	2014	4
SRR3476840	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Pate				2014-04-10	2014	4
SRR3476805	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-29	2014	1
SRR3476819	19	9	32	42	46	46	48	49	232.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-30	2014	3
SRR3476796	19	9	32	42	46	46	48	49	50.9	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476809	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-02-07	2014	2
SRR3476806	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-29	2014	1
SRR3476835	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Pate 1				2014-02-04	2014	2
SRR3476836	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Pate 2				2014-02-04	2014	2
SRR3476793	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-26	2014	1
SRR3476795	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476814	19	9	32	42	46	46	167	200.1	227.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-02-25	2014	2
SRR3476799	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476838	19	9	32	42	46	46	48	49	230.7	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		rear fridge shelves				2014-04-10	2014	4
SRR3476801	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476798	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476797	19	9	32	42	46	46	48	49	50.2	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-27	2014	1
SRR3476794	19	9	32	42	46	46	48	49	50.7	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-26	2014	1
SRR3476808	19	9	32	42	46	46	48	49	50.6	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-31	2014	1
SRR3476803	19	9	32	42	46	46	48	49.1	2996.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-28	2014	1
SRR3476791	19	9	32	42	46	46	48	49	50.7	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-26	2014	1
SRR3476810	19	9	32	42	46	46	48.2	49.2	225.1	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-02-08	2014	2
SRR3476841	19	9	32	42	46	46	48	49	232.5	1	2	42	46	46	48	49	50	50	50	50	50	Oceania	Australia	 Westmead		Shredded Cooked Chicken				2014-04-10	2014	4
SRR3476816	19	9	32	42	46	46	48	201	229.1	1	2	42	46	46	48	201	229	229	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-13	2014	3
SRR3476832	19	9	32	42	46	46	48	201	235.1	1	2	42	46	46	48	201	229	229	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-05-27	2014	5
SRR3476846	19	9	32	42	46	46	48	201	235.1	1	2	42	46	46	48	201	229	229	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-05-05	2014	5
SRR3476830	19	9	32	42	46	46	168	202	234.1	1	2	42	46	46	48	201	234	234	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-05-20	2014	5
SRR3476831	19	9	32	42	46	46	168	202	234.1	1	2	42	46	46	48	201	234	234	50	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-05-26	2014	5
SRR3476813	19	9	51	42	46	133	48	199	226.1	1	2	42	46	133	48	199	226	226	226	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-02-12	2014	2
SRR3476807	19	9	51	42	46	133	48	199	228.1	1	2	42	46	133	48	199	226	226	226	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-30	2014	1
SRR3476815	19	9	51	42	46	133	48	199	228.1	1	2	42	46	133	48	199	226	226	226	50	50	Oceania	Australia	 Westmead		Homo sapiens				2014-03-03	2014	3
SRR3476834	19	9	32	42	111	46	169	203	236.1	1	2	42	46	46	48	203	236	236	236	236	50	Oceania	Australia	 Westmead		Homo sapiens				2014-05-28	2014	5
SRR3476844	19	9	32	42	46	46	48	13257	22397.3	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-25	2014	1
SRR3476847	19	9	32	42	46	46	48	13257	22397.3	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-25	2014	1
SRR3476833	19	9	32	42	46	46	48	13257	22397.4	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-24	2014	1
SRR3476848	19	9	32	42	46	46	48	13257	22397.3	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-25	2014	1
SRR3476822	19	9	32	42	46	46	48	13257	22397.3	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-24	2014	1
SRR3476788	19	9	32	42	46	46	48	13257	22397.2	1	2	42	46	46	48	49	20835	20835	13205	8505	50	Oceania	Australia	 Westmead		Homo sapiens				2014-01-06	2014	1
